StationID,lat,long,year,oxygen,pH,temperature,Agonus cataphractus,Alosa alosa,Alosa fallax,Ammodytes lancea,Anguilla anguilla,Arnoglossus laterna,Atherina presbyter,Belone belone,Blicca bjoerkna,Buglossidium luteum,Callionymus lyra,Callionymus reticulatus,Chelidonichthys gurnardus,Chelidonichthys lucerna,Ciliata mustela,Clupea,Clupea harengus,"Clupea harengus, larvae",Clupeidae,Dicentrachus labrax,Enchelyopus cimbrius,Entelurus aequoreus,Eutrigla gurnardus,Gadidae,Gadus morhua,Gasterosteus aculeatus,Hippoglossoides platessoides,Hyperoplus lanceolatus,Lampetra fluviatilis,Limanda limanda,Liparis,Liparis liparis,Liparis montagui,Lotidae,Merlangius merlangus,Microstomus kitt,Myoxocephalus scorpius,Osmerus eperlanus,Pholis gunnellus,Platichthys flesus,Pleuronectes platessa,Pomatoschistus,Pomatoschistus microps,Pomatoschistus minutus,Pomatoschistus pictus,Psetta maxima,Roccus labrax,Rutilus rutilus,Scophthalmus rhombus,Solea solea,Sprattus sprattus,Syngnathus acus,Syngnathus rostellatus,Syngnathus typhle,Trachinus vipera,Trachurus trachurus,Trigla lucerna,Trisopterus luscus,Trisopterus minutus,Zoarces viviparus
Balt_W_1,53.73176472,7.44084194,1994,10.3,8.05,6.9,3.125,0,0,1.073333333,0,0,0,0,0,0,0,0,0,0,1.25,2.48,9.711666667,0,0,0,0,0,0,0,5.341666667,6.092380952,0,0,0,1.22,0,0,0,0,2.281666667,0,2.181818182,2.293636364,1,9.361363636,31.17666667,0,0,14.96714286,0,0,0,0,0,0,3.6315,0,2,0,0,1,0,1.88,0,2.9375
Balt_W_1,53.73176472,7.44084194,1995,10.4,8.35,3.7,4.818181818,0,0,0,0,0,0,0,0,3.95,1,0,0,0,1.5,1,5.412857143,0,0,0,0,0,0,0,3.374444444,27.455,0,0,0,0,0,0,0,0,2.835,0,1.888888889,17.82153846,1.333333333,65.9875,63.362,0,0,103.1576923,0,0,0,0,0,3.28,1,0,0,0,0,0,0,2.33,0,4.111111111
Balt_W_1,53.73176472,7.44084194,1996,11.15,8,2.9,0,1,0,1,4.09,0,0,0,0,0,0,0,0,0,0,0,1.7725,0,0,0,0,0,0,0,0,26.91666667,0,0,0,0,0,0,0,0,0,0,0,14.84857143,0,2.424,3.449090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
Balt_W_1,53.73176472,7.44084194,1997,10.5,7.9,3.75,13.93882353,0,0,3.66,0,4.925,0,0,1,1,0,0,0,0,1,9.278,46.19571429,0,0,0,0,0,0,7.66,5.656875,10.11611111,0,0,0,18.33333333,0,0,0,0,1.5,0,4,4.808235294,1,15.266,236.7271429,0,0,569.8072727,0,0,0,1,0,1.727272727,7.7825,0,2.71,0,0,0,0,1,0,2.545454545
Balt_W_1,53.73176472,7.44084194,1998,11.05,8,4.8,2.684210526,0,0,2,0,1,0,0,0,0,0,0,0,0,0,14.5,4.866666667,0,0,0,0,0,0,0,1,3.130434783,0,2.333333333,0,3.5,0,0,0,0,0,0,3.2,6,1.25,2.761904762,6.814814815,0,1,38.64705882,0,0,1,0,0,1.666666667,1.2,0,3.727272727,0,0,0,0,0,0,2.583333333
Balt_W_1,53.73176472,7.44084194,1999,10.1,8.05,5.25,2.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,2.285714286,0,36.42857143,5,0,0,0,0,0,0,2.5,9.05,0,0,0,1.5,0,0,0,3,1.333333333,0,5,7.857142857,1.25,6.842105263,7.333333333,1,3.666666667,47.27272727,0,0,0,0,0,1,4.764705882,0,2,0,0,0,0,0,0,7.3
Balt_W_1,53.73176472,7.44084194,2000,8.85,8.07,7.4,1.916666667,0,0,1,1,0,0,0,0,1,1,0,0,0,2.692307692,0,11.89473684,0,0,0,0,0,0,0,2.214285714,16.5,0,3,0,2.875,0,1.666666667,0,0,4.272727273,1,5,4.210526316,2.555555556,28.2,21.42857143,0,6.545454545,66.08,0,1,0,0,1,1.333333333,1.888888889,0,2,0,0,1,0,0,0,8.941176471
Balt_W_1,53.73176472,7.44084194,2001,9.05,8,4.95,2.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.8125,0,0,0,0,0,0,0,1,3.75,0,0,0,0,0,0,0,0,1,0,2.777777778,4.761904762,1,8.65,3.333333333,0,2.181818182,9.333333333,0,0,0,0,0,1,1.428571429,0,0,0,0,0,0,0,0,1.714285714
Balt_W_1,53.73176472,7.44084194,2002,8.55,8.4,7.5,2.066666667,0,0,1,0,0,0,0,0,0,0,0,0,0,2.333333333,3.25,5.333333333,0,0,0,0,0,0,0,2.5,3,0,0,0,0,0,0,0,0,7.764705882,0,6.1875,7.5,5,32.55555556,10.16666667,0,1,7.636363636,0,0,1,0,0,1,1.7,0,1.857142857,0,0,0,0,0,0,3.75
Balt_W_1,53.73176472,7.44084194,2003,9.7,8.45,5.75,2.833333333,0,0,2,0,0,0,0,0,0,0,0,0,0,1.75,2,3.583333333,0,0,0,0,0,0,0,1,4.923076923,0,0,0,17.5,0,0,0,0,1,0,1.4,18.85,1,5,2.5,0,1.545454545,16.2173913,0,0,1,0,1,0,2.111111111,0,1.666666667,0,0,0,0,0,0,1.142857143
Balt_W_1,53.73176472,7.44084194,2004,11.35,8.225,6.05,3.133333333,0,1.25,1.75,0,0,0,0,0,0,0,0,0,0,2.75,0,10.76923077,0,0,0,0,0,0,0,2,13,0,0,0,5,0,1,0,0,0,0,7.105263158,5.333333333,2.5,18.52173913,13.91304348,0,2.8,18.2173913,3.333333333,0,0,0,1,0,2,0,3.166666667,0,0,0,0,0,0,2.727272727
Balt_W_1,53.73176472,7.44084194,2005,10.85,8.275,7.1,2.6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.470588235,0,0,0,1,0,0,0,1.833333333,3.307692308,0,0,0,0,0,0,0,0,1,0,1.818181818,4,0,8.444444444,14.2,0,1,6.954545455,0,0,0,0,1,0,1.2,0,0,0,0,0,0,0,0,1.428571429
Balt_W_1,53.73176472,7.44084194,2006,10.45,7.98,6.4,2.25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.545454545,0,0,0,0,0,0,0,1,4.8,0,0,0,12,0,0,0,0,0,0,1.2,12.75,1,5.136363636,4.047619048,0,0,2.4,0,0,0,0,0,0,2.142857143,0,0,0,0,0,0,0,0,1.3
Balt_W_1,53.73176472,7.44084194,2007,9.55,8.075,7.15,2.722222222,0,4.789473684,1.6,0,0,10.25,0,0,0,0,0,0,0,1.666666667,0,4.84,0,1,1.333333333,0,0,0,0,1,2.4,0,1,0,1,0,0,0,0,1.714285714,0,1.909090909,19.22222222,0,12.25925926,9.586206897,1,3.933333333,70.10344828,0,0,0,0,1,2,2,0,2.111111111,0,0,0,0,0,0,1.4
