year,salinity,temperature,grain.size,lat,long,Alitta succinea,Alitta virens,Aphelochaeta marioni,Arenicola marina,Balanus crenatus,Bathyporeia sarsi,Bylgides sarsi,Capitella capitata,Carcinus maenas,Cerastoderma edule,Corophium arenarium,Crangon crangon,Ensis leei,Eteone longa,Eumida sanguinea,Eunereis longissima,Gammarus locusta,Glycera tridactyla,Hediste diversicolor,Heteromastus filiformis,Kurtiella bidentata,Lanice conchilega,Limecola balthica,Macomangulus tenuis,Malmgrenia darbouxi,Marenzelleria viridis,Melita palmata,Mya arenaria,Mysta picta,Mytilus edulis,Nephtys hombergii,Peringia ulvae,Phyllodoce mucosa,Polydora cornuta,Pygospio elegans,Scolelepis foliosa,Scoloplos armiger,Scrobicularia plana,Spio martinensis,Spiophanes bombyx,Streblospio benedicti,Tetrastemma melanocephalum,Urothoe poseidonis
2005,28.11416667,11.71333333,266.6,52.98263,4.90768,13.3,2.2,311.1,54.4,0,0,2.2,0,4.4,6.7,6.7,22.2,2.2,44.4,0,0,0,0,168.9,944.4,4.4,297.8,13.3,0,13.3,0,0,11.1,0,0,10,231.1,22.2,4.4,0,0,226.7,0,0,0,0,0,333.3
2006,28.7025,11.765,248.6,52.98263,4.90768,1.1,1.3,477.8,58.9,0,0,15.6,0,0,8.9,0,26.7,0,4.4,0,0,0,0,68.9,333.3,0,40,11.1,0,4.4,0,0,14.4,0,0,15.6,2.2,17.8,0,0,0,184.4,0,6.7,0,0,0,657.8
2007,27.54703823,12.24416667,237.4,52.98263,4.90768,0,0,166.7,38.9,0,0,6.7,0,10.6,11.1,0,34.4,8.9,6.7,0,2.2,24.4,0,140,38.9,6.7,60,16.7,0,2.2,11.1,0,2.2,0,0,12.2,2.2,35.6,13.3,0,0,368.9,0,8.9,0,0,0,804.4
2008,29.04916667,11.47083333,246.6,52.98263,4.90768,0,1.1,744.4,47.8,0,0,4.4,0,11.1,24.4,0,20,13.3,22.2,0,2.2,6.7,2.2,122.2,122.2,0,162.2,15.6,2.2,2.2,57.8,0,424.4,0,0,17.8,2788.9,4.4,88.9,0,0,426.7,0,44.4,2.2,0,0,1024.4
2009,29.17363163,11.50166667,246.9,52.98263,4.90768,6.7,0,600,47.8,0,0,4.4,244.4,4.4,35.6,2.2,16.4,11.1,180,0,0,6.7,0,115.6,33.3,4.4,53.3,4.4,0,0,35.6,0,11.1,0,2.2,16.7,26206.7,80,8.9,166.7,0,188.9,0,2.2,2.2,0,0,515.6
2010,27.63682535,10.63166667,253.7,52.98263,4.90768,12.2,0,655.6,37.8,0,0,11.1,408.9,13.3,15.6,4.4,11.1,0,106.7,0,0,2.2,0,246.7,133.3,0,100,15.6,0,0,13.3,0,4.6,0,0,11.1,29093.3,106.7,48.9,33.3,4.4,231.1,1.1,0,0,0,0,166.7
2012,26.61833333,11.17833333,256.1,52.98263,4.90768,0,0,511.1,36.7,2.2,0,4.4,60,6.7,757.8,2.2,22.2,0,48.9,0,0,2.2,0,75.6,88.9,4.4,2.2,26.7,0,0,20,0,5.8,0,0,4.4,34522.2,26.7,2.2,566.7,2.2,451.1,0,0,0,0,0,151.1
2015,28.03454545,11.61166667,269.7,52.98263,4.90768,2.2,0,588.9,40,0,0,4.4,544.4,24.4,31.1,0,2.2,8.9,233.3,0,0,2.2,2.2,195.6,188.9,11.1,124.4,26.2,0,0,84.4,0,3.2,0,0,1.1,46.7,4.4,0,1455.6,0,677.8,0.4,0,0,0,0,20
2017,28.99666667,11.81166667,238.6,52.98263,4.90768,4.4,0,288.9,44.4,0,0,0,388.9,0,13.3,0,8.9,2.2,57.8,2.2,2.2,0,4.4,113.3,146.7,0,175.6,17.8,0,4.4,0,0,1.1,2.2,2.2,10,0,17.8,2.2,8.9,0,393.3,0,0,2.2,0,0,111.1
2018,29.34166667,11.88,242.1,52.98263,4.90768,4.4,0,544.4,114.4,0,0,13.3,200,6.7,33.3,0,8.9,382.2,402.2,0,0,0,0,60,957.8,2.2,4.4,28.9,0,0,26.7,0,104.4,0,20,2.2,58700,24.4,0,533.3,0,160,0,0,0,0,0,84.4
2019,29.2075,12.00166667,236.7,52.98263,4.90768,2.2,0,411.1,91.1,0,4.4,2.2,133.3,6.7,31.1,4.4,4.4,4.4,11.1,0,0,0,0,55.6,540,0,86.7,13.3,0,0,6.7,0,7.8,0,0,0,0,4.4,0,133.3,0,368.9,2.2,33.3,0,0,0,217.8
