year,temperature,pH,salinity,total.p,total.n,lat,long,Actinocyclus sp.,Actinoptychus senarius,Akashiwo sanguinea,Asterionella formosa,Asterionella sp.,Asterionellopsis glacialis,Asteroplanus karianus,Bacillaria paradoxa,Bacillariales,Bacteriastrum hyalinum,Biddulphia alternans,Biddulphiales,Brockmanniella brockmannii,Cerataulina pelagica,Ceratium fusus,Ceratium lineatum,Chaetoceros borealis,Chaetoceros ceratosporus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros didymus,Chaetoceros eibenii,Chaetoceros simplex,Chaetoceros socialis,Chaetoceros sp.,Chaetoceros subtilis,Chlorophyceae,Chrysophyceae,Corymbellus aureus,Coscinodiscophyceae,Coscinodiscus concinnus,Coscinodiscus granii,Coscinodiscus radiatus,Coscinodiscus sp.,Cryptophyceae,Cyanophyceae,Cylindrotheca closterium,Cymatosira belgica,Dactyliosolen fragilissimus,Delphineis surirella,Detonula pumila,Dictyocha speculum,Dinophyceae,Diploneis sp.,Ditylum brightwellii,Entomoneis sp.,Eucampia zodiacus,Eunotogramma dubium,Eutreptiella marina,Flagellates,Fragilaria sp.,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Gymnodinium sp.,Gyrodinium sp.,Gyrodinium spirale,Gyrosigma fasciola,Gyrosigma sp.,Helicotheca tamesis,Hemiselmis,Heterocapsa rotundata,Heterocapsa triquetra,Katodinium glaucum,Katodinium sp.,Lauderia annulata,Lennoxia faveolata,Leptocylindrus danicus,Leptocylindrus minimus,Lithodesmium undulatum,Lithodesmium variabile,Mediopyxis helysia,Melosira moniliformis,Melosira nummuloides,Melosira sp.,Merismopedia sp.,Meuniera membranacea,Navicula sp.,Neocalyptrella robusta,Nitzschia cf. lorenziana var. incerta,Odontella aurita,Odontella aurita var. minima,Odontella mobiliensis,Odontella regia,Odontella rhombus,Odontella rhombus f. trigona,Odontella sinensis,Oscillatoria sp.,Paralia sulcata,Pediastrum sp.,Peridiniella danica,Phaeocystis globosa,Phaeocystis sp.,Plagiogrammopsis vanheurckii,Plagiolemma distortum,Plagioselmis,Pleurosigma sp.,Prasinophyceae,Prorocentrum micans,Prorocentrum minimum,Prorocentrum triestinum,Protoperidinium bipes,Protoperidinium claudicans,Protoperidinium curtipes,Protoperidinium sp.,Protoperidinium subinerme,Prymnesiophyceae,Pseudo-nitzschia cf. pungens,Pseudo-nitzschia delicatissima,Pseudo-nitzschia delicatissima (group),Pseudo-nitzschia fraudulenta,Pseudo-nitzschia pungens,Pseudo-nitzschia pungens (group),Pseudo-nitzschia seriata,Pseudo-nitzschia seriata (group),Pseudo-nitzschia sp.,Pterosperma sp.,Pyramimonadophyceae,Pyramimonas longicauda,Pyramimonas sp.,Rhaphoneis amphiceros,Rhizosolenia imbricata,Rhizosolenia pungens,Rhizosolenia setigera,Rhizosolenia setigera f. pungens,Rhizosolenia similoides,Rhizosolenia styliformis,Scenedesmus quadricauda,Scenedesmus sp.,Scenedesmus sp. / Desmodesmus sp.,Scrippsiella (group),Scrippsiella sp.,Skeletonema costatum,Skeletonema costatum (group),Subsilicea fragilarioides,Synedra sp.,Teleaulax,Telonema,Thalassionema nitzschioides,Thalassiosira hendeyi,Thalassiosira minima,Thalassiosira punctigera,Thalassiosira rotula,Thalassiosira sp.
2007,6.95,8,22.865,5.97,142.855,53.47903,6.91759,0,336,0,0,673,0,0,0,1121,0,0,673,24536.25,0,0,0,0,0,0,673,0,800,0,1600,0,0,97200,1259,0,0,0,0,0,0,0,0,0,25802,1514,1922.75,0,0,0,0,0,0,0,300,0,5045,0,673,822841,0,3018,5500,0,0,200,1200,0,0,0,0,0,0,0,200,0,0,2691,14968.5,2218,0,0,0,0,0,5382,0,0,0,336,673,0,2522.5,673,0,0,436.5,0,4709,0,0,9984384,0,8913.5,0,0,0,0,0,0,0,300,0,0,100,0,0,21568,633040,0,1009,0,0,0,0,336,0,0,0,0,0,500,800,336,0,0,0,2691,0,0,0,0,0,0,0,0,0,0,2355,336,6727,1009,0,2127.25
2008,6.6,8.075,24.845,2.935,120,53.47903,6.91759,0,2300.8,0,0,0,10185,10898,0,27904.28571,0,0,0,32306.77778,0,0,0,0,7654.5,0,747.75,6839.333333,0,0,0,0,0,135358.4,1345,0,5382,20182,0,2473.333333,0,0,2018,1345,90906.875,3364,22692.11111,5382,336,0,0,0,0,0,1923.8,0,0,11158.375,2422,1803001.111,20182,12180.25,0,336,0,673,1682,0,0,0,0,0,0,0,0,0,0,18230.5,11705.33333,2018,0,0,0,0,0,5382,0,1151.5,0,0,22549.6,0,3083.166667,336,336,448.3333333,2421.8,0,2218,672.5,0,0,13332240.8,17719.16667,0,0,3683.25,0,0,0,0,1211,0,0,369.6666667,673,26155,0,0,1262771.286,0,0,358399,0,0,0,0,0,0,0,336,3318.166667,6727.5,4260.666667,0,0,0,0,3363.5,0,0,0,12808.6,0,0,336,0,0,5918,0,51175.28571,0,6390.75,4072.111111
2009,6.7,7.975,27.105,3.24,71.785,53.47903,6.91759,0,1297,0,0,0,0,0,2800,686.25,0,0,0,78912.25,0,0,0,0,0,0,800,0,0,268,0,0,0,0,100,0,0,0,0,0,0,0,0,0,56354.75,0,3302.25,0,0,0,0,0,0,150,100,0,0,1000,1400,633999,600,100,0,0,0,0,386.5,0,0,0,0,0,0,0,0,0,0,800,550,336,0,71304.75,0,0,0,3200,0,100,0,0,745.3333333,0,769.6666667,0,100,1345,178.6666667,0,800,0,24800,0,363633,4491,0,0,0,0,2600,0,0,0,0,0,200,0,13468,0,1277.5,0,0,1048.333333,0,0,0,0,0,0,0,600,0,568,0,757.6666667,0,0,0,0,0,0,0,400,1200,0,0,0,0,0,2024.333333,0,13806,0,0,2116
2010,3.9,8.05,20.88,4.68,128.57,53.47903,6.91759,100,100,0,0,0,38681.5,0,0,3680,673,0,0,28699.75,0,0,0,0,0,0,673,84090,0,0,0,0,0,1345,1187.666667,0,0,0,0,747.5,0,0,0,0,18599,0,16627,0,0,0,0,2018,0,0,673,0,0,3721.333333,3364,260460.5,0,4036,0,0,673,5382,0,0,0,0,0,0,0,0,0,0,0,1345,31618,400,0,5738.75,0,0,0,0,0,0,0,0,3500,0,673,0,0,0,1345,0,4512,0,0,0,6343370,6354.5,0,0,673,0,0,0,0,2691,0,0,673,0,0,0,346115,0,0,2018,0,0,0,0,1925,0,0,0,0,100,0,2836.333333,0,0,0,0,0,0,0,0,348470,0,0,0,0,0,300,0,21527,0,0,0
2011,13,7.983333333,25.99333333,5.328333333,92.26166667,53.47903,6.91759,0,941.6666667,0,0,0,27562.8,2881,0,5825.5,0,0,0,48642,0,925,0,0,0,0,3430.333333,0,0,0,0,0,0,1345,4651.75,0,0,0,0,2019,0,0,0,0,75399.875,0,10167.42857,0,0,2000,0,0,0,0,100,1947.5,0,2700.833333,1345,131556.875,0,40957.4,0,0,100,925,0,0,0,0,0,0,0,0,0,0,0,10057,11804.5,1072.5,0,1575,1209,0,600,0,0,0,0,0,12650,1850,491,0,1345,200,579.5,2503,9796.5,100,0,0,114376,7083.8,0,0,515.3333333,0,0,0,1000,0,0,0,386.5,0,0,0,0,0,0,6102,0,0,0,0,0,0,0,0,673,169053.6667,0,10532.8,0,0,0,0,0,0,0,3152,152161.8,0,0,0,0,0,4362.5,0,285735.8571,0,0,4022.833333
2012,12.45,8,27.33,3.445,75.535,53.47903,6.91759,0,500,0,0,0,48536,22873,0,1110.75,0,0,0,4000,0,100,0,0,0,0,400,0,0,200,0,0,0,4709,2027.333333,0,0,0,0,8086.25,0,0,0,0,50035.66667,0,6522.75,0,0,0,114363,0,0,0,822.5,0,5200,1545.333333,0,382398,0,200,450,0,0,386.5,0,0,0,0,0,0,0,0,0,0,0,1100,0,1336.5,0,1763.666667,0,0,0,0,0,0,0,0,18050,200,1018.25,950,0,0,1981.666667,2100,0,0,0,0,0,1845.5,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,0,0,0,0,0,0,0,0,0,200,0,1930.333333,0,0,0,0,0,0,0,1782,8472.5,0,0,0,0,0,850,0,117926,0,0,800
2013,11.2875,8.055,27.29,4.195,98.03375,53.47903,6.91759,0,1170.666667,0,0,0,62790.4,7074.333333,0,5681.25,0,9418,0,29561.5,0,673,0,0,0,0,1429.666667,41036,0,0,0,0,0,47637,10203,35654,0,0,0,6858.5,0,0,0,0,72031.125,0,23094.5,0,0,0,0,0,0,0,0,0,2018,3918.6,1597.75,251494.8571,0,7063.333333,0,0,3447.666667,1633,0,0,0,0,0,0,0,0,0,0,26936,5718,39886.66667,0,0,25685.28571,1850,0,0,0,0,0,0,0,5850,815,16302.71429,0,0,0,504.5,0,4716,0,0,0,7144709,8314.4,0,0,2060,0,673,673,0,925,0,0,841,0,0,0,17990.66667,0,0,9306,0,0,0,0,0,0,0,0,1345,9418,0,11772.75,0,0,0,0,400,0,0,1660.75,123389.5714,0,0,0,0,0,5451.75,0,281328.8333,0,4036,6999.5
2014,16.28,8.053,28.60666667,4.59,88.783,53.47903,6.91759,0,1937,0,0,0,11381,2246.75,0,133803,400,2496,0,43633,0,0,0,0,0,67568,0,163290,0,0,0,0,0,28968.66667,3950.666667,1832,0,0,0,4453.714286,0,336,0,0,67203.71429,0,26150.28571,0,1877,0,0,0,0,0,1181.25,0,0,2960.8,1345,282548.1429,0,8444.8,233.3333333,1488.5,3904,0,0,100,0,0,0,0,0,0,0,0,0,1927,14405,1900,0,2072,0,0,0,0,100,0,100,0,3048,8608.75,856.5,3329.25,0,669.6666667,1393.25,0,2654.6,0,0,0,159020.4,4461.5,0,0,4034,0,692.3333333,0,1877,1248,0,0,0,0,13468,0,13683,0,0,20326.5,0,0,0,24400,0,0,0,1877,100,0,0,8740.25,2496,0,0,0,7700,0,0,515.3333333,43853.83333,0,0,0,0,0,5714.666667,0,312121.4,100,7141.666667,7420
2015,14.95384615,8.075384615,27.748,3.486666667,83.41222222,53.47903,6.91759,560.6666667,2211.375,0,200,0,7484,1569.333333,0,5441.375,0,0,0,41362.25,0,336,1345,0,0,0,1009,14127.5,0,0,0,0,0,1681.5,504.5,2018,0,0,0,8151.125,0,0,673,0,83693.28571,0,7860.714286,0,0,0,0,0,673,0,0,0,3364,2690.714286,2018,189033.375,0,7938,0,673,2298.5,1345,504.5,0,0,0,0,0,1682,673,0,0,40404,8240.75,23096.66667,1514,0,500,0,0,0,16145,0,615.3333333,0,0,9030.166667,336,1666.142857,529.5,0,504.5,672.5,0,7484.25,0,0,0,77423.5,22348.5,0,0,1445.25,16835,1569.666667,673,6054.5,1345,0,0,706,0,0,0,1682,0,0,9075.666667,0,0,0,0,0,0,0,673,0,2859,0,7036.4,673,0,0,0,800,0,0,3700,3364,0,0,0,0,0,3363.75,0,639482.5714,2018,12109,6054.5
2016,14.49333333,8.038,27.57,3.556,97.716,53.47903,6.91759,0,680.4285714,0,0,0,23881.5,0,0,8037.666667,0,2018,0,22920.57143,1345,0,0,673,0,9754.666667,336,4372.5,0,0,1345,673,0,32963.25,3615.75,1513.5,0,0,5382,1492.6,386.5,0,0,0,127728.875,0,26177.71429,0,2355,0,0,0,0,0,922.75,0,9193.666667,2563.333333,1345.5,417370.25,0,42045,673,2691,1098.166667,0,6054,0,336,336,0,0,0,0,0,19173,6734,3027.2,21527,2354.5,0,1042.666667,0,0,0,0,0,0,673,0,4869.2,6727,4052.25,2690.75,0,0,2374.4,0,3091,0,0,0,281772.6667,5802.5,0,0,1500.2,0,0,0,1569.666667,504.5,0,673,672.3333333,0,0,0,63151.75,0,0,130171.4286,0,0,0,12782,0,13468,0,0,0,10903,0,2102.25,1345,0,0,0,0,3850,0,1766,6054.25,0,0,0,0,0,2355,0,81067.5,1177,1960.333333,2785.4
2017,13.70416667,8.003541667,28.57823529,3.076666667,74.21809524,53.47903,6.91759,0,2716.714286,2691,0,0,20966.5,6503,0,15605.28571,0,0,0,0,4036,0,0,0,0,0,2579,6054.333333,0,1009,1345,0,1345.5,7904.5,7534.2,4036,0,0,0,23489.625,0,0,0,336,249021.125,0,12915.875,33718.125,0,0,6727.5,0,0,0,1345,0,5718,13742.57143,2018,993737.75,0,5157.5,336,0,3700,897,0,0,0,0,0,25627,0,0,0,0,25627,19509,30676.2,4709,0,4637.714286,0,0,0,0,0,200,0,0,16207.2,0,867.2,218,673,0,1479.8,0,4612,0,0,0,2443849.5,9468.333333,0,0,784.6666667,0,504.5,2085.4,6727,504.5,336,0,740,0,0,0,7130.8,0,0,13454.66667,0,5802,0,0,0,38659,1009,0,841,6054.333333,0,8947,0,0,673,0,0,0,0,3363.8,10427,0,0,0,0,0,23935.125,0,33088.25,2859,7624,1849.75
2018,14.93076923,8.019538462,30.70909091,2.603,51.071,53.47903,6.91759,0,2477.5,0,0,0,34495.33333,20740.5,0,11558.78767,0,1445.5,0,2691,336,0,0,0,0,2018,993.6666667,14127,0,1230.333333,0,0,739.3333333,49122.25,1800.2,1960.333333,0,0,0,3278.285714,336,0,0,0,90550.4,0,8477.857143,58902.66667,0,1009,3700,0,504.5,0,0,0,0,6650,469.6666667,216844.5214,0,3193.25,673,0,1615.611167,2354.75,673,0,0,0,284882.75,16475.5,0,0,0,336,25627,4260.666667,19152,2354.666667,2578.666667,6390.8,0,1345,0,0,0,336,0,0,16233.57143,0,2654.8,336,0,403,1345.5,0,3154.5,0,0,0,9768302.333,15108.83333,1247.75,70780.66667,4036,0,300,0,0,4036,0,0,268,0,0,0,0,85547.66667,0,56521.4,0,0,700,0,0,6408,0,0,704.5,14538.5,0,841,0,3454.5,0,0,0,0,218,0,0,23527.16667,5382,0,60231.4,76882,9642,0,85641.66667,2421.333333,0,2606.5
